City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,cascais,38.6979,-9.4215,17.19,88,12,10.28,PT,1698623857
154,badger,64.8,-147.5333,0.45,85,40,0.0,US,1698623836
155,tortoli,39.9256,9.6572,19.9,73,75,4.12,IT,1698623867
156,ribeira grande,38.5167,-28.7,17.72,64,100,2.71,PT,1698623869
157,valparaiso,-33.0393,-71.6273,15.82,82,100,3.09,CL,1698623861
158,waat,51.1454,6.4958,13.23,82,75,3.6,DE,1698623873
159,saynshand,44.8824,110.1163,3.36,44,72,5.35,MN,1698623875
160,pisco,-13.7,-76.2167,21.03,73,0,10.8,PE,1698623878
161,barcelos,41.5388,-8.6151,16.08,80,89,5.51,PT,1698623880
162,astrakhan,46.3497,48.0408,8.93,87,0,4.0,RU,1698623748
163,namibe,-15.1961,12.1522,19.71,86,10,1.51,AO,1698623885
164,tzucacab,20.0667,-89.05,26.82,54,15,0.41,MX,1698623887
165,san patricio,28.017,-97.5169,28.92,66,33,4.64,US,1698623889
166,nishinoomote,30.7333,131.0,21.31,60,20,2.06,JP,1698623892
167,labrador city,52.9463,-66.9114,-3.05,74,75,4.63,CA,1698623894
168,male,4.1748,73.5089,25.84,85,100,1.98,MV,1698623896
169,emerald,-23.5333,148.1667,25.19,44,69,3.39,AU,1698623898
170,turpan,42.9333,89.1667,14.6,36,100,1.38,CN,1698623903
171,kill devil hills,36.0307,-75.676,21.66,80,0,5.14,US,1698623905
172,khandyga,62.6667,135.6,-5.88,96,100,1.2,RU,1698623907
173,cidreira,-30.1811,-50.2056,20.84,89,55,2.79,BR,1698623910
174,bikenibeu village,1.3673,173.1241,30.98,74,20,2.06,KI,1698623912
175,mount pearl,47.5166,-52.7813,5.64,70,75,10.29,CA,1698623914
176,hadibu,12.65,54.0333,25.65,79,69,3.06,YE,1698623917
177,anori,-3.7728,-61.6442,30.87,35,13,0.9,BR,1698623919
178,iskateley,67.6803,53.1512,-8.88,86,100,5.81,RU,1698623922
179,huarmey,-10.0681,-78.1522,19.97,85,63,4.08,PE,1698623924
180,susuman,62.7833,148.1667,-17.79,99,93,0.45,RU,1698623926
181,jhingergacha,23.1131,89.0938,20.86,83,58,1.9,BD,1698623929
182,vorgashor,67.5833,63.95,-18.04,98,23,2.2,RU,1698623931
183,kalmunai,7.4167,81.8167,25.03,84,77,1.54,LK,1698623933
184,klyuchi,52.2667,79.1667,-0.18,91,100,2.56,RU,1698623935
185,parabel',58.6978,81.4825,-9.49,94,24,1.34,RU,1698623938
186,mineiros,-17.5694,-52.5511,24.65,70,80,1.42,BR,1698623940
187,axim,4.8699,-2.2405,25.94,86,2,1.59,GH,1698623942
188,mogocha,53.7333,119.7667,-7.17,61,80,2.0,RU,1698623945
189,cooma,-36.2333,149.1333,21.98,24,99,8.27,AU,1698623947
190,farafangana,-22.8167,47.8333,23.05,92,13,2.81,MG,1698623950
191,yatou,37.15,122.3833,19.19,73,2,5.29,CN,1698623952
192,arno,60.1167,18.6333,2.66,70,100,3.44,SE,1698623955
193,bethel,41.3712,-73.414,9.64,88,100,3.09,US,1698623953
194,las heras,-46.5419,-68.9359,4.95,57,96,3.39,AR,1698623960
195,mata-utu,-13.2816,-176.1745,28.23,74,40,1.63,WF,1698623962
